"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 11:28:56 GMT 2023","Tue Aug 15 11:29:00 GMT 2023","4018","Parallel Test Suite","Static pages tests","tests.footer.WhoWeAreTest","tests.footer.WhoWeAreTest","testLinksColorsWhoWeArePage","testLinksColorsWhoWeArePage",""
"broken","Tue Aug 15 11:57:17 GMT 2023","Tue Aug 15 11:57:40 GMT 2023","23670","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testRelatedSearchCriteria_WebPage","testRelatedSearchCriteria_WebPage",""
"failed","Tue Aug 15 11:30:26 GMT 2023","Tue Aug 15 11:30:33 GMT 2023","7625","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testTwitterIconNavigatesToTwitterWeb","testTwitterIconNavigatesToTwitterWeb",""
"passed","Tue Aug 15 11:30:34 GMT 2023","Tue Aug 15 11:30:46 GMT 2023","11378","Parallel Test Suite","Static pages tests","tests.footer.OurDatacenterTest","tests.footer.OurDatacenterTest","testHTML5VideoPlayerUsingGermanyLocalization_Datacenter","testHTML5VideoPlayerUsingGermanyLocalization_Datacenter",""
"passed","Tue Aug 15 11:31:32 GMT 2023","Tue Aug 15 11:31:38 GMT 2023","5707","Parallel Test Suite","Static pages tests","tests.header.VpnInstructionsTest","tests.header.VpnInstructionsTest","testTextsFontSizesVpnInstructionsPage","testTextsFontSizesVpnInstructionsPage",""
"passed","Tue Aug 15 11:33:22 GMT 2023","Tue Aug 15 11:33:26 GMT 2023","4197","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testTextsFontSizesEmailPage","testTextsFontSizesEmailPage",""
"broken","Tue Aug 15 11:59:34 GMT 2023","Tue Aug 15 12:00:00 GMT 2023","25428","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testDeleteTrackFromFavorite","testDeleteTrackFromFavorite",""
"broken","Tue Aug 15 11:25:23 GMT 2023","Tue Aug 15 11:25:46 GMT 2023","23172","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterSearchAndGoBack_MainPage","testCharityQueryCounterSearchAndGoBack_MainPage",""
"passed","Tue Aug 15 11:33:02 GMT 2023","Tue Aug 15 11:33:07 GMT 2023","4507","Parallel Test Suite","Static pages tests","tests.footer.MakeDefaultSearchTest","tests.footer.MakeDefaultSearchTest","testAllButtonColorsWhenHover_makeDefaultSearchPage","testAllButtonColorsWhenHover_makeDefaultSearchPage",""
"passed","Tue Aug 15 11:33:42 GMT 2023","Tue Aug 15 11:33:49 GMT 2023","6577","Parallel Test Suite","Static pages tests","tests.footer.MakeDefaultSearchTest","tests.footer.MakeDefaultSearchTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"passed","Tue Aug 15 11:30:59 GMT 2023","Tue Aug 15 11:31:04 GMT 2023","4881","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testAllButtonColorsWhenHover_VpnPage","testAllButtonColorsWhenHover_VpnPage",""
"passed","Tue Aug 15 11:29:37 GMT 2023","Tue Aug 15 11:29:42 GMT 2023","4335","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testLocalizationNavigateToCorrespondingPages","testLocalizationNavigateToCorrespondingPages",""
"skipped","Tue Aug 15 11:41:30 GMT 2023","Tue Aug 15 11:41:30 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testChangeLanguageInFavorite_ImagePage","testChangeLanguageInFavorite_ImagePage",""
"broken","Tue Aug 15 11:41:54 GMT 2023","Tue Aug 15 11:42:17 GMT 2023","22744","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testCloseWebPreview_WebPage","testCloseWebPreview_WebPage",""
"passed","Tue Aug 15 11:25:06 GMT 2023","Tue Aug 15 11:25:09 GMT 2023","3092","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testAdaptiveHomePageHasLogo","testAdaptiveHomePageHasLogo",""
