"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 15 11:39:22 GMT 2023","Tue Aug 15 11:39:45 GMT 2023","23504","Parallel Test Suite","Search pages test","tests.header.VideoTest","tests.header.VideoTest","testScrollToMaxPage_VideoPage","testScrollToMaxPage_VideoPage",""
"broken","Tue Aug 15 11:23:25 GMT 2023","Tue Aug 15 11:23:48 GMT 2023","23522","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalFooterSearchLinksNavigateToCorrespondingPages","testExternalFooterSearchLinksNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:26:46 GMT 2023","Tue Aug 15 11:26:53 GMT 2023","6235","Parallel Test Suite","Static pages tests","tests.footer.CharityProjectTest","tests.footer.CharityProjectTest","testCharityProjectLinksNavigateToCorrespondingPages","testCharityProjectLinksNavigateToCorrespondingPages",""
"broken","Tue Aug 15 11:42:47 GMT 2023","Tue Aug 15 11:43:10 GMT 2023","23495","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testLocalization_MusicPage","testLocalization_MusicPage",""
"passed","Tue Aug 15 11:28:21 GMT 2023","Tue Aug 15 11:28:26 GMT 2023","4301","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testRegionNavigateToCorrespondingPages","testRegionNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:30:52 GMT 2023","Tue Aug 15 11:30:58 GMT 2023","5213","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testTextsFontSizesEmailPage","testTextsFontSizesEmailPage",""
"passed","Tue Aug 15 11:30:07 GMT 2023","Tue Aug 15 11:30:14 GMT 2023","7611","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Tue Aug 15 11:27:06 GMT 2023","Tue Aug 15 11:27:11 GMT 2023","4838","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testSwisscowsEmailLinkFooterNavigatesToSwisscowsEmailSite","testSwisscowsEmailLinkFooterNavigatesToSwisscowsEmailSite",""
"broken","Tue Aug 15 11:49:19 GMT 2023","Tue Aug 15 11:49:43 GMT 2023","24183","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testOpenNewsInTheNewsWidget_WebPage","testOpenNewsInTheNewsWidget_WebPage",""
"broken","Tue Aug 15 11:34:22 GMT 2023","Tue Aug 15 11:34:46 GMT 2023","24103","Parallel Test Suite","Search pages test","tests.header.NewsTest","tests.header.NewsTest","testNextButtonInPaging_NewsPage","testNextButtonInPaging_NewsPage",""
"passed","Tue Aug 15 11:21:54 GMT 2023","Tue Aug 15 11:21:58 GMT 2023","4293","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testAmountLinksInTheFooter","testAmountLinksInTheFooter",""
"passed","Tue Aug 15 11:24:38 GMT 2023","Tue Aug 15 11:24:44 GMT 2023","5806","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testExternalMenuLinksNavigateToCorrespondingPages","testExternalMenuLinksNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:30:55 GMT 2023","Tue Aug 15 11:31:03 GMT 2023","7512","Parallel Test Suite","Static pages tests","tests.footer.DonationTest","tests.footer.DonationTest","testAllImageExistDonationPage","testAllImageExistDonationPage",""
"passed","Tue Aug 15 11:30:46 GMT 2023","Tue Aug 15 11:30:51 GMT 2023","4876","Parallel Test Suite","Static pages tests","tests.footer.MakeDefaultSearchTest","tests.footer.MakeDefaultSearchTest","testLinksColorsMakeDefaultSearchPage","testLinksColorsMakeDefaultSearchPage",""
"passed","Tue Aug 15 11:30:31 GMT 2023","Tue Aug 15 11:30:39 GMT 2023","7574","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Tue Aug 15 11:28:33 GMT 2023","Tue Aug 15 11:28:38 GMT 2023","5065","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testStarNowButtonColorWhenHover_VpnPage","testStarNowButtonColorWhenHover_VpnPage",""
"passed","Tue Aug 15 11:25:46 GMT 2023","Tue Aug 15 11:25:51 GMT 2023","5471","Parallel Test Suite","Static pages tests","tests.footer.WhoWeAreTest","tests.footer.WhoWeAreTest","testWhoWeAreLinksNavigateToCorrespondingPages","testWhoWeAreLinksNavigateToCorrespondingPages",""
"broken","Tue Aug 15 11:53:47 GMT 2023","Tue Aug 15 11:54:10 GMT 2023","23456","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testSwitchToPreviousTrack","testSwitchToPreviousTrack",""
"broken","Tue Aug 15 11:45:16 GMT 2023","Tue Aug 15 11:45:40 GMT 2023","23404","Parallel Test Suite","Search pages test","tests.header.MusicTest","tests.header.MusicTest","testPlayTrack","testPlayTrack",""
"passed","Tue Aug 15 11:30:40 GMT 2023","Tue Aug 15 11:30:47 GMT 2023","7216","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"skipped","Tue Aug 15 11:39:25 GMT 2023","Tue Aug 15 11:39:25 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testChangeLanguageInFavorite_ImagePage","testChangeLanguageInFavorite_ImagePage",""
"passed","Tue Aug 15 11:28:03 GMT 2023","Tue Aug 15 11:28:08 GMT 2023","5216","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testExtensionsIconsExist","testExtensionsIconsExist",""
"passed","Tue Aug 15 11:30:17 GMT 2023","Tue Aug 15 11:30:25 GMT 2023","7315","Parallel Test Suite","Static pages tests","tests.footer.SetAsStartTest","tests.footer.SetAsStartTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"passed","Tue Aug 15 11:28:40 GMT 2023","Tue Aug 15 11:28:44 GMT 2023","4193","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testRegionNavigateToCorrespondingPages","testRegionNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:21:55 GMT 2023","Tue Aug 15 11:22:00 GMT 2023","5404","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testAppStoreIconNavigatesToAppStoreWeb","testAppStoreIconNavigatesToAppStoreWeb",""
"broken","Tue Aug 15 11:25:02 GMT 2023","Tue Aug 15 11:25:25 GMT 2023","23440","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testEmailIconNavigatesToLoginPageIfLoggedIn_SearchPage","testEmailIconNavigatesToLoginPageIfLoggedIn_SearchPage",""
"passed","Tue Aug 15 11:25:26 GMT 2023","Tue Aug 15 11:25:31 GMT 2023","4404","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testHamburgerMenuIsAvailableAndHasOptions_TopMenu","testHamburgerMenuIsAvailableAndHasOptions_TopMenu",""
"passed","Tue Aug 15 11:24:25 GMT 2023","Tue Aug 15 11:24:31 GMT 2023","5951","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testServicesBlockLinksNavigateToCorrespondingPages","testServicesBlockLinksNavigateToCorrespondingPages",""
"broken","Tue Aug 15 11:22:53 GMT 2023","Tue Aug 15 11:23:18 GMT 2023","25058","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testCharityQueryCounterSearchNews","testCharityQueryCounterSearchNews",""
"broken","Tue Aug 15 11:25:08 GMT 2023","Tue Aug 15 11:25:32 GMT 2023","23719","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testSuggestIsDysplaed","testSuggestIsDysplaed",""
"passed","Tue Aug 15 11:25:55 GMT 2023","Tue Aug 15 11:25:59 GMT 2023","4099","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:21:50 GMT 2023","Tue Aug 15 11:21:54 GMT 2023","3881","Parallel Test Suite","Static pages tests","tests.footer.FooterMenuTest","tests.footer.FooterMenuTest","testAboutSwisscowsTexts","testAboutSwisscowsTexts",""
"broken","Tue Aug 15 11:58:17 GMT 2023","Tue Aug 15 11:58:46 GMT 2023","29532","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testWebResultsEqualsSearchCriteria","testWebResultsEqualsSearchCriteria",""
"broken","Tue Aug 15 11:54:55 GMT 2023","Tue Aug 15 11:55:18 GMT 2023","23472","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testProductAdvertising_WebPage","testProductAdvertising_WebPage",""
"passed","Tue Aug 15 11:29:58 GMT 2023","Tue Aug 15 11:30:06 GMT 2023","7998","Parallel Test Suite","Static pages tests","tests.header.EmailTest","tests.header.EmailTest","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage","testLinksOfPriceContainersNavigateToCorrespondingPages_EmailPage",""
"passed","Tue Aug 15 11:21:59 GMT 2023","Tue Aug 15 11:22:04 GMT 2023","4526","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testAnswersTextsMainPage","testAnswersTextsMainPage",""
"passed","Tue Aug 15 11:26:18 GMT 2023","Tue Aug 15 11:26:23 GMT 2023","4978","Parallel Test Suite","Static pages tests","tests.header.TopMenuTest","tests.header.TopMenuTest","testLocalizationNavigateToCorrespondingPages","testLocalizationNavigateToCorrespondingPages",""
"passed","Tue Aug 15 11:31:06 GMT 2023","Tue Aug 15 11:31:13 GMT 2023","7150","Parallel Test Suite","Static pages tests","tests.footer.MakeDefaultSearchTest","tests.footer.MakeDefaultSearchTest","testLocalizationGoToCorrespondingLanguage","testLocalizationGoToCorrespondingLanguage",""
"skipped","Tue Aug 15 11:39:25 GMT 2023","Tue Aug 15 11:39:25 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddedImageEqualImageInFavorite_ImagePage","testAddedImageEqualImageInFavorite_ImagePage",""
"passed","Tue Aug 15 11:25:41 GMT 2023","Tue Aug 15 11:25:45 GMT 2023","4512","Parallel Test Suite","Static pages tests","tests.footer.WhoWeAreTest","tests.footer.WhoWeAreTest","testLinksColorsWhoWeArePage","testLinksColorsWhoWeArePage",""
"passed","Tue Aug 15 11:29:04 GMT 2023","Tue Aug 15 11:29:13 GMT 2023","8704","Parallel Test Suite","Static pages tests","tests.header.VpnPageTest","tests.header.VpnPageTest","testVpnLinksNavigateToCorrespondingPages","testVpnLinksNavigateToCorrespondingPages",""
"failed","Tue Aug 15 11:32:16 GMT 2023","Tue Aug 15 11:32:22 GMT 2023","5907","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","test202NoResultsFoundPageError_WebPage","test202NoResultsFoundPageError_WebPage",""
"broken","Tue Aug 15 11:46:02 GMT 2023","Tue Aug 15 11:46:26 GMT 2023","23483","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testNextButtonInPaging_WebPage","testNextButtonInPaging_WebPage",""
"passed","Tue Aug 15 11:27:19 GMT 2023","Tue Aug 15 11:27:25 GMT 2023","5979","Parallel Test Suite","Static pages tests","tests.footer.CharityProjectTest","tests.footer.CharityProjectTest","testLinksColorsCharityProjectPage","testLinksColorsCharityProjectPage",""
"passed","Tue Aug 15 11:24:06 GMT 2023","Tue Aug 15 11:24:11 GMT 2023","4860","Parallel Test Suite","Static pages tests","tests.MainTest","tests.MainTest","testPopupGoogleRedirectToInstall","testPopupGoogleRedirectToInstall",""
"passed","Tue Aug 15 11:31:12 GMT 2023","Tue Aug 15 11:31:24 GMT 2023","11194","Parallel Test Suite","Static pages tests","tests.footer.DonationTest","tests.footer.DonationTest","testDonationLinksNavigateToCorrespondingPages","testDonationLinksNavigateToCorrespondingPages",""
"broken","Tue Aug 15 11:42:47 GMT 2023","Tue Aug 15 11:43:11 GMT 2023","23531","Parallel Test Suite","Search pages test","tests.header.WebPageTest","tests.header.WebPageTest","testImagesAndTitleIsDysplaedInImageWidget_WebPage","testImagesAndTitleIsDysplaedInImageWidget_WebPage",""
